Language,4 bits,8 bits,32 bits
cy,9.673993587493896,4.955667495727539,5.708413124084473
mt,6.442375898361206,5.465658187866211,6.57337498664856
uz,4.905498266220093,4.25386118888855,4.986867427825928
ps,20.42529582977295,16.204254865646362,20.855160236358643
si,39.509578227996826,29.61273169517517,38.4065728187561
yo,2.3551690578460693,1.8718485832214355,2.286771535873413
jv,4.987467050552368,3.950732946395874,4.920853137969971
ku,7.199144601821899,5.549861669540405,7.02290940284729
lo,57.53444981575012,44.36458873748779,57.15212535858154
lb,4.510058403015137,3.6316401958465576,4.434383392333984
bg,20.368778467178345,15.370498895645142,19.80751657485962
he,24.653161764144897,18.695239782333374,24.16180658340454
el,25.60292077064514,19.325902462005615,24.827172994613647
uk,19.705639600753784,15.20196533203125,19.29720973968506
da,3.932779550552368,3.086318016052246,3.8420701026916504
ro,10.268228769302368,8.181315422058105,10.053780794143677
no,4.592532634735107,3.6295766830444336,4.484203338623047
id,5.023035764694214,3.9738547801971436,4.950539827346802
ms,4.1366798877716064,3.267690896987915,4.053100109100342
th,149.10122346878052,114.82651901245117,146.7569763660431
en,4.504844903945923,3.670949697494507,4.463109493255615
fr,7.100732088088989,5.857790470123291,7.081387281417847
de,8.350959539413452,6.465367555618286,8.029708623886108
es,6.003236532211304,4.7426629066467285,5.787091970443726
nl,4.164389610290527,3.301528215408325,4.0253119468688965
ru,31.154189109802246,22.770471572875977,29.62358808517456
ar,51.10689830780029,38.681211709976196,49.79848289489746
ja,89.15397572517395,67.4749608039856,85.98268580436707
ko,35.97419786453247,27.195364236831665,35.15169095993042
pt,7.449095726013184,5.928551912307739,7.164969444274902
